,Datetime,Region,Technology,Cost,Value
383,2048,reg1,Wind_Off-Shore_PP,fixed_cost,2436000.0
384,2049,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
385,2050,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
386,2051,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
387,2052,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
388,2053,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
389,2054,reg1,Wind_Off-Shore_PP,fixed_cost,2400000.0
390,2055,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
391,2056,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
392,2057,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
393,2058,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
394,2059,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
395,2060,reg1,Wind_Off-Shore_PP,fixed_cost,0.0
396,2025,reg1,Hydro_PP,fixed_cost,218184486.0
397,2026,reg1,Hydro_PP,fixed_cost,219700140.0
398,2027,reg1,Hydro_PP,fixed_cost,220800000.0
399,2028,reg1,Hydro_PP,fixed_cost,220800000.0
400,2029,reg1,Hydro_PP,fixed_cost,220800000.0
401,2030,reg1,Hydro_PP,fixed_cost,220800000.0
402,2031,reg1,Hydro_PP,fixed_cost,220800000.0
403,2032,reg1,Hydro_PP,fixed_cost,220800000.0
404,2033,reg1,Hydro_PP,fixed_cost,220800000.0
405,2034,reg1,Hydro_PP,fixed_cost,220800000.0
406,2035,reg1,Hydro_PP,fixed_cost,220800000.0
407,2036,reg1,Hydro_PP,fixed_cost,220800000.0
408,2037,reg1,Hydro_PP,fixed_cost,220800000.0
409,2038,reg1,Hydro_PP,fixed_cost,220800000.0
410,2039,reg1,Hydro_PP,fixed_cost,220800000.0
411,2040,reg1,Hydro_PP,fixed_cost,220800000.0
412,2041,reg1,Hydro_PP,fixed_cost,220800000.0
413,2042,reg1,Hydro_PP,fixed_cost,220800000.0
414,2043,reg1,Hydro_PP,fixed_cost,220800000.0
415,2044,reg1,Hydro_PP,fixed_cost,220800000.0
416,2045,reg1,Hydro_PP,fixed_cost,220800000.0
417,2046,reg1,Hydro_PP,fixed_cost,220800000.0
418,2047,reg1,Hydro_PP,fixed_cost,220800000.0
419,2048,reg1,Hydro_PP,fixed_cost,220800000.0
420,2049,reg1,Hydro_PP,fixed_cost,220800000.0
421,2050,reg1,Hydro_PP,fixed_cost,220800000.0
422,2051,reg1,Hydro_PP,fixed_cost,220800000.0
423,2052,reg1,Hydro_PP,fixed_cost,220800000.0
424,2053,reg1,Hydro_PP,fixed_cost,220800000.0
425,2054,reg1,Hydro_PP,fixed_cost,220800000.0
426,2055,reg1,Hydro_PP,fixed_cost,220800000.0
427,2056,reg1,Hydro_PP,fixed_cost,220800000.0
428,2057,reg1,Hydro_PP,fixed_cost,220800000.0
429,2058,reg1,Hydro_PP,fixed_cost,220800000.0
430,2059,reg1,Hydro_PP,fixed_cost,220800000.0
431,2060,reg1,Hydro_PP,fixed_cost,218184486.0
432,2025,reg1,UO2_supply ,fixed_cost,0.0
433,2026,reg1,UO2_supply ,fixed_cost,0.0
434,2027,reg1,UO2_supply ,fixed_cost,0.0
435,2028,reg1,UO2_supply ,fixed_cost,0.0
436,2029,reg1,UO2_supply ,fixed_cost,0.0
437,2030,reg1,UO2_supply ,fixed_cost,0.0
438,2031,reg1,UO2_supply ,fixed_cost,0.0
439,2032,reg1,UO2_supply ,fixed_cost,0.0
440,2033,reg1,UO2_supply ,fixed_cost,0.0
441,2034,reg1,UO2_supply ,fixed_cost,0.0
442,2035,reg1,UO2_supply ,fixed_cost,0.0
443,2036,reg1,UO2_supply ,fixed_cost,0.0
444,2037,reg1,UO2_supply ,fixed_cost,0.0
445,2038,reg1,UO2_supply ,fixed_cost,0.0
446,2039,reg1,UO2_supply ,fixed_cost,0.0
447,2040,reg1,UO2_supply ,fixed_cost,0.0
448,2041,reg1,UO2_supply ,fixed_cost,0.0
449,2042,reg1,UO2_supply ,fixed_cost,0.0
450,2043,reg1,UO2_supply ,fixed_cost,0.0
451,2044,reg1,UO2_supply ,fixed_cost,0.0
452,2045,reg1,UO2_supply ,fixed_cost,0.0
453,2046,reg1,UO2_supply ,fixed_cost,0.0
454,2047,reg1,UO2_supply ,fixed_cost,0.0
455,2048,reg1,UO2_supply ,fixed_cost,0.0
456,2049,reg1,UO2_supply ,fixed_cost,0.0
457,2050,reg1,UO2_supply ,fixed_cost,0.0
458,2051,reg1,UO2_supply ,fixed_cost,0.0
459,2052,reg1,UO2_supply ,fixed_cost,0.0
460,2053,reg1,UO2_supply ,fixed_cost,0.0
461,2054,reg1,UO2_supply ,fixed_cost,0.0
462,2055,reg1,UO2_supply ,fixed_cost,0.0
463,2056,reg1,UO2_supply ,fixed_cost,0.0
464,2057,reg1,UO2_supply ,fixed_cost,0.0
465,2058,reg1,UO2_supply ,fixed_cost,0.0
466,2059,reg1,UO2_supply ,fixed_cost,0.0
467,2060,reg1,UO2_supply ,fixed_cost,0.0
468,2025,reg1,Electricity_net_imports,fixed_cost,0.0
469,2026,reg1,Electricity_net_imports,fixed_cost,0.0
470,2027,reg1,Electricity_net_imports,fixed_cost,0.0
471,2028,reg1,Electricity_net_imports,fixed_cost,0.0
472,2029,reg1,Electricity_net_imports,fixed_cost,0.0
